기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2021	은평구	역촌동	계	45,387	1,021.5	1,517	1,625.5	1,765.5	2,810	3,645.5	3,109	3,336.5	3,599	3,757	3,893.5	3,578.5	3,541	2,731.5	2,108	1,686.5	1,056	433	135	31	6.5
2021	은평구	역촌동	남자	21,373.5	499.5	777	822.5	877.5	1,358	1,710.5	1,503.5	1,601	1,806.5	1,856.5	1,818.5	1,664.5	1,582	1,197.5	910.5	760.5	443	145.5	30.5	8	0.5
2021	은평구	역촌동	여자	24,013.5	522	740	803	888	1,452	1,935	1,605.5	1,735.5	1,792.5	1,900.5	2,075	1,914	1,959	1,534	1,197.5	926	613	287.5	104.5	23	6
2021	서대문구	소계	계	303,144.5	8,558.5	10,929.5	10,696.5	12,254.5	22,016.5	27,188.5	22,025	22,199.5	21,833.5	23,712.5	25,159	22,589	21,823.5	16,229	12,588	10,625.5	7,626	3,601	1,183	258	48
2021	서대문구	소계	남자	145,048.5	4,466	5,460	5,396	6,110	9,965	13,505	10,886	11,023	10,826	11,689.5	12,219.5	10,972	10,405	7,528.5	5,422	4,482	3,032.5	1,269.5	330	53	8
2021	서대문구	소계	여자	158,096	4,092.5	5,469.5	5,300.5	6,144.5	12,051.5	13,683.5	11,139	11,176.5	11,007.5	12,023	12,939.5	11,617	11,418.5	8,700.5	7,166	6,143.5	4,593.5	2,331.5	853	205	40
2021	서대문구	천연동	계	17,103	586.5	619	656.5	755.5	1,020.5	1,164	1,067	1,278.5	1,228	1,449	1,542	1,382.5	1,228	923.5	714.5	640.5	513	245	74	13.5	2
2021	서대문구	천연동	남자	8,111	308	298.5	336.5	362.5	486.5	566	527	624.5	589	698	761.5	689.5	609	426.5	298	245.5	183	79	18.5	3	1
2021	서대문구	천연동	여자	8,992	278.5	320.5	320	393	534	598	540	654	639	751	780.5	693	619	497	416.5	395	330	166	55.5	10.5	1
2021	서대문구	홍제1동	계	23,637	678	821	828	1,021.5	1,434	1,637.5	1,632	1,711	1,675	1,938	2,089	1,893.5	1,863.5	1,413.5	1,060.5	868.5	665	292	97	15.5	3
2021	서대문구	홍제1동	남자	11,105.5	345.5	402	402	505	704.5	804.5	761	849.5	811	924	975.5	885.5	853	650.5	473	355	281	93	26.5	3.5	-
2021	서대문구	홍제1동	여자	12,531.5	332.5	419	426	516.5	729.5	833	871	861.5	864	1,014	1,113.5	1,008	1,010.5	763	587.5	513.5	384	199	70.5	12	3
2021	서대문구	홍제3동	계	15,273	341	394	439	649	993	1,070.5	1,019	915	902.5	1,172.5	1,393	1,232	1,262.5	1,017.5	832	745	566.5	255.5	61	10.5	2
2021	서대문구	홍제3동	남자	7,396.5	173.5	196	229	355.5	493.5	536.5	538.5	471.5	472.5	568.5	682.5	632	591	464.5	337	321	205	103	21	4.5	-
